method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.21965964214902114,0.8839293426558816,0.11355148078871274,0.06443000774568107,0.020078081083279277,0.013533122438002244
mmfm_v2,task3,0.1T_to_3T,3,0.355209839033827,0.8581660962316672,0.13112847327454502,0.09747251556862711,0.033344216833145195,0.02258943426473656
mmfm_v2,task3,0.1T_to_5T,3,0.2306934266156795,0.8790532059927046,0.12275202940925267,0.07737447799462051,0.026618948934721942,0.017899324231323708
mmfm_v2,task3,0.1T_to_7T,3,0.4126000230353926,0.9143756176043586,0.10762939574456183,0.07785198022130682,0.011452703191206424,0.014634014869665618
mmfm_v2,task3,1.5T_to_0.1T,3,0.3186278004124445,0.883490844060467,0.10278983175862277,0.13106848767236393,0.025190597304858106,0.013493751372490807
mmfm_v2,task3,1.5T_to_3T,3,0.29682120217541885,0.8962070325989194,0.08476129164648939,0.1033403615366274,0.02202075876677502,0.014576057399801369
mmfm_v2,task3,1.5T_to_5T,3,0.18452919332278928,0.9163942400171509,0.0795589874632489,0.08718534842855966,0.010204130285122466,0.010761435011012859
mmfm_v2,task3,1.5T_to_7T,3,0.3357499199876,0.9392674728731806,0.0643346680069457,0.073463091701658,0.006905829738368401,0.005561082129337491
mmfm_v2,task3,3T_to_0.1T,3,0.5925103769926111,0.8716442562397299,0.1337385380714665,0.20257585802743966,0.03268245440785743,0.025951672699869234
mmfm_v2,task3,3T_to_1.5T,3,0.3376520443975357,0.9091443439797412,0.08906035463619037,0.19139010135264792,0.01125567428785519,0.013427578974608343
mmfm_v2,task3,3T_to_5T,3,0.18423349951517323,0.9095049005719155,0.08783681035547197,0.06900188488477577,0.007917999172361141,0.011101348179626064
mmfm_v2,task3,3T_to_7T,3,0.6135364225434473,0.9187386644366589,0.07947220732142758,0.22034423090765465,0.014454445561306017,0.013762360764813618
mmfm_v2,task3,5T_to_0.1T,3,0.43475098175874316,0.8697957203094272,0.11027485930242921,0.15495472475263344,0.03502839273910007,0.019678938794300032
mmfm_v2,task3,5T_to_1.5T,3,0.23966395831611,0.9176160092835423,0.06603797011266908,0.17215207401201504,0.00931728588962006,0.004608496970324584
mmfm_v2,task3,5T_to_3T,3,0.21869596765387492,0.9056002933674735,0.07425376924277856,0.040214705968079995,0.011640600227521943,0.007221298515114337
mmfm_v2,task3,5T_to_7T,3,0.48983342856378226,0.9267012000860211,0.06312056896124531,0.2193072326730806,0.01286841095702579,0.007583884878170071
mmfm_v2,task3,7T_to_0.1T,3,0.34988168934452446,0.8623917943502587,0.10900922815831719,0.1080335246676139,0.025393242381198868,0.016068850951315307
mmfm_v2,task3,7T_to_1.5T,3,0.251396823585005,0.9019226087435458,0.07710686770369207,0.022539022378051558,0.006720038336509903,0.008339632599169398
mmfm_v2,task3,7T_to_3T,3,0.4240912235787628,0.8756634746938919,0.08738757301934778,0.09387697889090696,0.02513150645811409,0.013827967393470201
mmfm_v2,task3,7T_to_5T,3,0.32023427524785947,0.8925493017196714,0.08641641754299885,0.09579393254752276,0.01663618368839565,0.00986045310020475
