region,method,modality,nrmse_mean,ssim_mean,n
slab_z150_180,Vectorise,T1W,0.404313,0.840209,60
slab_z150_180,Vectorise,T2W,0.321525,0.840658,60
slab_z150_180,Vectorise,T2FLAIR,0.349289,0.832094,60
slab_z150_180,UNet,T1W,0.421728,0.836742,60
slab_z150_180,UNet,T2W,0.327069,0.842509,60
slab_z150_180,UNet,T2FLAIR,0.364583,0.828783,60
slab_z150_180,INR,T1W,0.370769,0.777979,60
slab_z150_180,INR,T2W,0.355474,0.779236,60
slab_z150_180,INR,T2FLAIR,0.317515,0.793311,60
full_volume,Vectorise,T1W,0.435391,0.899497,60
full_volume,Vectorise,T2W,0.337624,0.897993,60
full_volume,Vectorise,T2FLAIR,0.365415,0.894863,60
full_volume,UNet,T1W,0.461681,0.895546,60
full_volume,UNet,T2W,0.367627,0.896293,60
full_volume,UNet,T2FLAIR,0.380668,0.892945,60
full_volume,INR,T1W,0.406994,0.860635,60
full_volume,INR,T2W,0.379995,0.857870,60
full_volume,INR,T2FLAIR,0.337619,0.870755,60
