method,task,pair,region,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
scaled_identity_loo,task3,0.1T_to_1.5T,slab_z150_180,3,0.14249116177475618,0.8853813603145168,0.02628664876381686,0.0017259284702890044
scaled_identity_loo,task3,0.1T_to_3T,slab_z150_180,3,0.259017045529603,0.8467733748444594,0.1122047398843019,0.009766993442255581
scaled_identity_loo,task3,0.1T_to_5T,slab_z150_180,3,0.17509077124183145,0.8878088792380061,0.011703592388331678,0.009491902324554774
scaled_identity_loo,task3,0.1T_to_7T,slab_z150_180,3,0.652172162474876,0.817779015826584,0.42580919059070815,0.025959483524809555
scaled_identity_loo,task3,1.5T_to_0.1T,slab_z150_180,3,0.1444297334618577,0.8911236579061245,0.030093330168955625,0.003246740947701301
scaled_identity_loo,task3,1.5T_to_3T,slab_z150_180,3,0.23811578307433248,0.8907876320715001,0.09865828672147582,0.013931779524538628
scaled_identity_loo,task3,1.5T_to_5T,slab_z150_180,3,0.15270620644653043,0.9201018633827377,0.009889379592171265,0.005627650087747315
scaled_identity_loo,task3,1.5T_to_7T,slab_z150_180,3,0.7506927072975852,0.823149760138648,0.5445506793619586,0.03476841354060233
scaled_identity_loo,task3,3T_to_0.1T,slab_z150_180,3,0.2568798775428328,0.8476580726655086,0.06561406143563697,0.012879538609269266
scaled_identity_loo,task3,3T_to_1.5T,slab_z150_180,3,0.2344960036375906,0.8865286480869358,0.03875392733171625,0.006603594645125209
scaled_identity_loo,task3,3T_to_5T,slab_z150_180,3,0.18482997260340275,0.9411089215108355,0.0345481270811043,0.00657625973375793
scaled_identity_loo,task3,3T_to_7T,slab_z150_180,3,0.861052732301415,0.8397760035458891,0.6951406415648468,0.04797970168015544
scaled_identity_loo,task3,5T_to_0.1T,slab_z150_180,3,0.1749663722593016,0.8231075619876931,0.011521047396293128,0.009344255226458152
scaled_identity_loo,task3,5T_to_1.5T,slab_z150_180,3,0.15283027415996875,0.8658489909731456,0.010369057372169317,0.007401185765197358
scaled_identity_loo,task3,5T_to_3T,slab_z150_180,3,0.18857508274178825,0.9015426956358863,0.06344331401436869,0.019854901763723867
scaled_identity_loo,task3,5T_to_7T,slab_z150_180,3,0.7277060474394839,0.8555871201476878,0.5439279432719786,0.046925581565300745
scaled_identity_loo,task3,7T_to_0.1T,slab_z150_180,3,0.6260924820755422,0.7371674815039816,0.15384057353987587,0.02951420007187838
scaled_identity_loo,task3,7T_to_1.5T,slab_z150_180,3,0.7227848573832133,0.7439963627942046,0.21235892308887883,0.016152841611685762
scaled_identity_loo,task3,7T_to_3T,slab_z150_180,3,0.8290184825212911,0.7544195815644447,0.13892941650325719,0.022821776464661082
scaled_identity_loo,task3,7T_to_5T,slab_z150_180,3,0.7022273245386863,0.8227860015953298,0.12073833212745572,0.027990960501019162
