method,task,pair,region,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
scaled_identity_loo,task3,0.1T_to_1.5T,slab_z150_180,3,0.24897977010074165,0.7989675479278504,0.07851856686649067,0.06454804230696899
scaled_identity_loo,task3,0.1T_to_3T,slab_z150_180,3,0.25413529560703385,0.7979182240260975,0.06806045171250623,0.04647365487471686
scaled_identity_loo,task3,0.1T_to_5T,slab_z150_180,3,0.19532554851620476,0.8091777015768894,0.04547792677325786,0.04261592971382748
scaled_identity_loo,task3,0.1T_to_7T,slab_z150_180,3,0.38411310368832124,0.8536296576840603,0.023964830132325785,0.00421349126234314
scaled_identity_loo,task3,1.5T_to_0.1T,slab_z150_180,3,0.2498408992361135,0.8095342703766857,0.10037619939250458,0.046206491512788134
scaled_identity_loo,task3,1.5T_to_3T,slab_z150_180,3,0.26170748641720226,0.9172061485785478,0.044814764254229776,0.0222972943784783
scaled_identity_loo,task3,1.5T_to_5T,slab_z150_180,3,0.27770900248445846,0.9010838937849469,0.0842672798092192,0.01485009804166552
scaled_identity_loo,task3,1.5T_to_7T,slab_z150_180,3,0.22778985748642513,0.9306986984254236,0.03037947470452716,0.01621193634917358
scaled_identity_loo,task3,3T_to_0.1T,slab_z150_180,3,0.25427166310620225,0.793056575320913,0.024830235937832592,0.05817466493126841
scaled_identity_loo,task3,3T_to_1.5T,slab_z150_180,3,0.2636173455727236,0.9132219970064682,0.13057361051247257,0.03773784224222558
scaled_identity_loo,task3,3T_to_5T,slab_z150_180,3,0.12326177694780845,0.9318313290132446,0.03107618145094563,0.008010809257305164
scaled_identity_loo,task3,3T_to_7T,slab_z150_180,3,0.27549118779622456,0.9337017166770974,0.12897846982101938,0.0039057039439651135
scaled_identity_loo,task3,5T_to_0.1T,slab_z150_180,3,0.19954041365370953,0.796864742143502,0.05190071474907979,0.05567991089224512
scaled_identity_loo,task3,5T_to_1.5T,slab_z150_180,3,0.2777139835827233,0.8926772676459024,0.14682680997523753,0.0314557919464776
scaled_identity_loo,task3,5T_to_3T,slab_z150_180,3,0.12238440776437248,0.9284868909088663,0.027426459682378022,0.005430637102624294
scaled_identity_loo,task3,5T_to_7T,slab_z150_180,3,0.33761653401657354,0.9133269465608519,0.1164857020556264,0.010688020874008308
scaled_identity_loo,task3,7T_to_0.1T,slab_z150_180,3,0.39639472505157897,0.7539407011967705,0.14541536381416542,0.05000496297562301
scaled_identity_loo,task3,7T_to_1.5T,slab_z150_180,3,0.23163896229873102,0.8679708872261752,0.031176775321386647,0.012929382092012207
scaled_identity_loo,task3,7T_to_3T,slab_z150_180,3,0.2731432493753123,0.8907239217532362,0.12183323214847014,0.015672462153213367
scaled_identity_loo,task3,7T_to_5T,slab_z150_180,3,0.3411886941105679,0.8685963897123347,0.17407777106606406,0.029494262951424724
