method,task,pair,region,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
scaled_identity_oracle,task3,0.1T_to_1.5T,slab_z150_180,3,0.13736152407139943,0.8121784442795725,0.03130957135726458,0.05634882333427019
scaled_identity_oracle,task3,0.1T_to_3T,slab_z150_180,3,0.14815934088583202,0.803808068525691,0.029596331868430963,0.05482333755103331
scaled_identity_oracle,task3,0.1T_to_5T,slab_z150_180,3,0.14233163362321619,0.8101614997625942,0.028113816093645955,0.04815795461362737
scaled_identity_oracle,task3,0.1T_to_7T,slab_z150_180,3,0.21503792289210413,0.8767108214260418,0.04833008102570515,0.006246252853404133
scaled_identity_oracle,task3,1.5T_to_0.1T,slab_z150_180,3,0.1373615240550167,0.8191893797346461,0.031309571380214875,0.04896319484114621
scaled_identity_oracle,task3,1.5T_to_3T,slab_z150_180,3,0.07714624368271557,0.9375073604844624,0.0039835686958935145,0.006202877497692334
scaled_identity_oracle,task3,1.5T_to_5T,slab_z150_180,3,0.08766463813553406,0.9236596763734212,0.004652768563895257,0.0022697814189125295
scaled_identity_oracle,task3,1.5T_to_7T,slab_z150_180,3,0.17410089033004603,0.9352232251233592,0.024595483602981867,0.013830220701302087
scaled_identity_oracle,task3,3T_to_0.1T,slab_z150_180,3,0.14815934087371163,0.8023879587611997,0.029596331871440867,0.04925353758043591
scaled_identity_oracle,task3,3T_to_1.5T,slab_z150_180,3,0.07714624365905763,0.9339722489001353,0.003983568678190148,0.0065002223118835875
scaled_identity_oracle,task3,3T_to_5T,slab_z150_180,3,0.08250090209206538,0.9352125338546653,0.0036417335195755387,0.004917378068692368
scaled_identity_oracle,task3,3T_to_7T,slab_z150_180,3,0.14524345044442558,0.9508742633829298,0.02837167097452734,0.00876113776985891
scaled_identity_oracle,task3,5T_to_0.1T,slab_z150_180,3,0.14233163362677675,0.8002201665624707,0.028113816122429223,0.045238746750368736
scaled_identity_oracle,task3,5T_to_1.5T,slab_z150_180,3,0.08766463811998189,0.915098626939146,0.004652768554576918,0.0038222696557975127
scaled_identity_oracle,task3,5T_to_3T,slab_z150_180,3,0.08250090210850315,0.9319885201360815,0.003641733524611514,0.006335737749266846
scaled_identity_oracle,task3,5T_to_7T,slab_z150_180,3,0.15549921562381389,0.9394325693177135,0.026601589162914614,0.011964312224654656
scaled_identity_oracle,task3,7T_to_0.1T,slab_z150_180,3,0.21503792288889034,0.7696734400908579,0.04833008102169577,0.045087444351677546
scaled_identity_oracle,task3,7T_to_1.5T,slab_z150_180,3,0.17410089034743606,0.8732382991343433,0.024595483633803535,0.005572876737748368
scaled_identity_oracle,task3,7T_to_3T,slab_z150_180,3,0.14524345043676304,0.908068965182301,0.02837167095744962,0.008592880577468228
scaled_identity_oracle,task3,7T_to_5T,slab_z150_180,3,0.15549921563204416,0.8928506854315712,0.02660158917148064,0.006524582197111997
