method,task,pair,region,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
scaled_identity_srclevel,task3,0.1T_to_1.5T,slab_z150_180,3,0.25992012949849286,0.7991093756136998,0.11278383926749765,0.07216656880535763
scaled_identity_srclevel,task3,0.1T_to_3T,slab_z150_180,3,0.1534692789557147,0.8042621685009738,0.031134288104556356,0.053975616301824896
scaled_identity_srclevel,task3,0.1T_to_5T,slab_z150_180,3,0.19134750989779126,0.8077392910174676,0.0338601690810295,0.04552314969766034
scaled_identity_srclevel,task3,0.1T_to_7T,slab_z150_180,3,0.2950695061089379,0.8641102895871118,0.11149109486896729,0.011362268143262235
scaled_identity_srclevel,task3,1.5T_to_0.1T,slab_z150_180,3,0.2576627115191898,0.8076032583943809,0.02516444175219766,0.05280273954899787
scaled_identity_srclevel,task3,1.5T_to_3T,slab_z150_180,3,0.08924545187305294,0.9372196288210519,0.011479646644770074,0.0069127225998774945
scaled_identity_srclevel,task3,1.5T_to_5T,slab_z150_180,3,0.15075737125193742,0.91919619885086,0.05261712256471224,0.0038834264432454635
scaled_identity_srclevel,task3,1.5T_to_7T,slab_z150_180,3,0.2630161905679791,0.924431146479103,0.09192864919920107,0.007847092163989424
scaled_identity_srclevel,task3,3T_to_0.1T,slab_z150_180,3,0.2644182211369792,0.7909064150386751,0.025222752526077228,0.05639270028814131
scaled_identity_srclevel,task3,3T_to_1.5T,slab_z150_180,3,0.2286756824155897,0.9176529263218595,0.10955306865634089,0.031393783943604266
scaled_identity_srclevel,task3,3T_to_5T,slab_z150_180,3,0.14834914701779628,0.9293943844143779,0.051834762629974836,0.011700922361441253
scaled_identity_srclevel,task3,3T_to_7T,slab_z150_180,3,0.24220743074347495,0.9391665725505659,0.10360186267013208,0.000340307503504729
scaled_identity_srclevel,task3,5T_to_0.1T,slab_z150_180,3,0.2583990122884223,0.7898383547232349,0.023500263178303938,0.05086372152474156
scaled_identity_srclevel,task3,5T_to_1.5T,slab_z150_180,3,0.2334193564066911,0.9006662216205,0.1062476531786194,0.02534614100658839
scaled_identity_srclevel,task3,5T_to_3T,slab_z150_180,3,0.09321222780589579,0.931514852348655,0.011121606226117988,0.006656740514255845
scaled_identity_srclevel,task3,5T_to_7T,slab_z150_180,3,0.25009649879170065,0.92791978121348,0.09997614208835554,0.004113524878279213
scaled_identity_srclevel,task3,7T_to_0.1T,slab_z150_180,3,0.3180906248344923,0.7589960257470746,0.025649824627217977,0.054533457868049945
scaled_identity_srclevel,task3,7T_to_1.5T,slab_z150_180,3,0.28755660846142755,0.858265090107257,0.10259132020695536,0.0351140514802719
scaled_identity_srclevel,task3,7T_to_3T,slab_z150_180,3,0.1525180975716059,0.9069895501081294,0.03250841298203372,0.007091669167667395
scaled_identity_srclevel,task3,7T_to_5T,slab_z150_180,3,0.2039836536569913,0.8877423795198193,0.05317040367634759,0.009609564029296334
