arm,modality,field,subject,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,fg_fraction,fg_std,nrmse_slab,ssim_slab,nrmse_full,ssim_full,seconds
noop,T1W,0.1T,0006,0.0,1.0,99.0,0.0,1.0,0.23931662738323212,9.54125462347416e-09,0.9999999999999879,1.4731112961639325e-08,0.9999999999999803,12.949049234390259
noop,T1W,1.5T,0006,0.0,1.0,99.0,0.0,1.0,0.1789635866880417,1.2831318953393316e-08,0.9999999999999877,1.852895715643369e-08,0.9999999999999871,13.040196418762207
noop,T1W,3T,0006,0.0,1.0,99.0,0.0,1.0,0.2315683513879776,1.424346625496621e-09,0.9999999999999999,1.855642275074804e-09,1.0,10.38889217376709
noop,T1W,5T,0006,0.0,1.0,99.0,0.0,1.0,0.08247419446706772,2.5209995533682092e-08,0.9999999999999887,3.8258354584419816e-08,0.9999999999999879,8.633621454238892
noop,T1W,7T,0006,0.0,1.0,99.0,0.0,1.0,0.10187408328056335,2.569176386455582e-08,0.9999999999999782,4.4459147602871186e-08,0.9999999999999675,9.963863134384155
noop,T2W,0.1T,0006,0.0,1.0,99.0,0.0,1.0,0.20514491200447083,1.149079165794971e-08,0.9999999999999848,1.8153570278425444e-08,0.9999999999999768,12.447115182876587
noop,T2W,1.5T,0006,0.0,1.0,99.0,0.0,1.0,0.12245766818523407,0.0,1.0,0.0,1.0,10.771685361862183
noop,T2W,3T,0006,0.0,1.0,99.0,0.0,1.0,0.1226406991481781,1.9341844998378067e-09,1.0,9.049131048833247e-09,0.9999999999999983,11.136208295822144
noop,T2W,5T,0006,0.0,1.0,99.0,0.0,1.0,0.1306302398443222,1.5269882863482598e-08,0.999999999999995,2.1291011950277044e-08,0.999999999999992,19.240137338638306
noop,T2W,7T,0006,0.0,1.0,99.0,0.0,1.0,0.1340433955192566,1.2838589254211723e-08,0.9999999999999952,2.5585009804574147e-08,0.9999999999999839,12.078581809997559
noop,T2FLAIR,0.1T,0006,0.0,1.0,99.0,0.0,1.0,0.17751812934875488,1.2413566624061151e-09,1.0,8.215741168390584e-10,1.0,13.297110319137573
noop,T2FLAIR,1.5T,0006,0.0,1.0,99.0,0.0,1.0,0.22765055298805237,1.0353138425005904e-08,0.999999999999993,1.2147040977591863e-08,0.9999999999999931,12.451184034347534
noop,T2FLAIR,3T,0006,0.0,1.0,99.0,0.0,1.0,0.21183694899082184,1.2904938579722294e-09,0.9999999999999999,2.1073850271774307e-09,1.0,9.510768413543701
noop,T2FLAIR,5T,0006,0.0,1.0,99.0,0.0,1.0,0.17924118041992188,8.616479659766183e-09,0.9999999999999966,1.3222775538568284e-08,0.9999999999999948,9.098809957504272
noop,T2FLAIR,7T,0006,0.0,1.0,99.0,0.0,1.0,0.10055288672447205,2.1559613935760557e-08,0.9999999999999933,3.130257440995157e-08,0.9999999999999883,8.174903154373169
protocol,T1W,0.1T,0006,0.0,1.0,99.0,0.0,0.1804959736173115,0.4781823456287384,0.03640543889426854,0.9831762950140526,0.0401203230268823,0.9895180904193712,4.639901161193848
protocol,T1W,1.5T,0006,0.0,1.0,99.0,0.0,0.17920079306950645,0.4709251821041107,0.06518247962758647,0.9569210133321447,0.0718141058360852,0.9780047712815968,4.994821548461914
protocol,T1W,3T,0006,0.0,1.0,99.0,0.0,0.17904190790085567,0.4584045708179474,0.11212454411896992,0.9149657753685327,0.11137380147914934,0.9554018369102806,5.149339199066162
protocol,T1W,5T,0006,0.0,1.0,99.0,0.0,0.17718978155226933,0.33000269532203674,0.04529159521737095,0.9859523422141341,0.057804871713009125,0.9913723154882668,5.609632253646851
protocol,T1W,7T,0006,0.0,1.0,99.0,0.0,0.17755902002728174,0.6194809675216675,0.09806854684063647,0.9692686983539393,0.10937466169651955,0.9846197047880324,5.190081357955933
protocol,T2W,0.1T,0006,0.0,1.0,99.0,0.0,0.1875634571862599,0.37664446234703064,0.03050356090507106,0.986669952437624,0.024961038264681976,0.9948575187023451,5.555806636810303
protocol,T2W,1.5T,0006,0.0,1.0,99.0,0.0,0.1791196550641741,0.34290263056755066,0.06425610014134311,0.9885634496548364,0.06582908295748527,0.9925432170593196,5.024152994155884
protocol,T2W,3T,0006,0.0,1.0,99.0,0.0,0.1776301066080729,0.36619532108306885,0.08855672399690331,0.9819588405655783,0.08134009110654228,0.9885109628140388,4.777761459350586
protocol,T2W,5T,0006,0.0,1.0,99.0,0.0,0.1787329779730903,0.3823048770427704,0.12093102599840574,0.9807815739849067,0.1153146952651253,0.9877318076135227,4.730526685714722
protocol,T2W,7T,0006,0.0,1.0,99.0,0.0,0.17713516477554564,0.4491824507713318,0.11804273688089294,0.9775170898246397,0.12849449221796047,0.9868533675017697,4.344647169113159
protocol,T2FLAIR,0.1T,0006,0.0,1.0,99.0,0.0,0.17963421533978174,0.28248804807662964,0.013493025778131228,0.996717248942106,0.02638029069503426,0.9971504694614469,4.350819826126099
protocol,T2FLAIR,1.5T,0006,0.0,1.0,99.0,0.0,0.17900799948071677,0.41166436672210693,0.03151603050173938,0.984730589642358,0.030610179171898115,0.9909943269151734,4.330689430236816
protocol,T2FLAIR,3T,0006,0.0,1.0,99.0,0.0,0.1779083978562128,0.40442827343940735,0.1246539180276907,0.8876126168707568,0.11669997111266538,0.9411999073196535,4.341928720474243
protocol,T2FLAIR,5T,0006,0.0,1.0,99.0,0.0,0.17870694115048363,0.3661245107650757,0.03143153542163564,0.9874827332901239,0.0336972351486572,0.9917306192673793,4.360494613647461
protocol,T2FLAIR,7T,0006,0.0,1.0,99.0,0.0,0.17735811263795884,0.3460041880607605,0.04713205291264074,0.9931257495590358,0.04439642013710749,0.9950578599518598,4.338343381881714
protocol_noclip,T1W,0.1T,0006,0.0,1.0,99.0,0.0,0.1793917701357887,0.36365264654159546,0.009067603324011757,0.9980586750619875,0.009905665478245203,0.9983926656865263,4.319872140884399
protocol_noclip,T1W,1.5T,0006,0.0,1.0,99.0,0.0,0.17735520620194692,0.24294961988925934,0.021217415599075612,0.9928079018900757,0.02344745167055293,0.9954130998375975,4.32867431640625
protocol_noclip,T1W,3T,0006,0.0,1.0,99.0,0.0,0.17829604375930058,0.3719712197780609,0.0294301087162335,0.9810612946762436,0.03273855764995673,0.9877020160791424,4.240880012512207
protocol_noclip,T1W,5T,0006,0.0,1.0,99.0,0.0,0.17384532141307044,0.11352872848510742,0.04480161658198762,0.9860310173246292,0.055163754859067236,0.9915323281639435,4.317824840545654
protocol_noclip,T1W,7T,0006,0.0,1.0,99.0,0.0,0.1673890371171255,0.22229085862636566,0.03633573598493465,0.9913763194313182,0.03805853354576444,0.9953761035584537,4.328674793243408
protocol_noclip,T2W,0.1T,0006,0.0,1.0,99.0,0.0,0.18588365827287948,0.2294854372739792,0.012228163221244823,0.9965479244552317,0.013736328652258406,0.9977394699618413,4.421431064605713
protocol_noclip,T2W,1.5T,0006,0.0,1.0,99.0,0.0,0.17811802455357142,0.21895471215248108,0.050278252127873624,0.9902494167085603,0.05055885826132897,0.9933947499939706,4.4301018714904785
protocol_noclip,T2W,3T,0006,0.0,1.0,99.0,0.0,0.17670210580977183,0.2564069330692291,0.0679979424810058,0.9844623047766908,0.07037277757955931,0.9892601018734607,4.308079242706299
protocol_noclip,T2W,5T,0006,0.0,1.0,99.0,0.0,0.17741551474919395,0.25506728887557983,0.05550045768391033,0.9879194219248983,0.06134848356090615,0.9916280319748787,4.342849016189575
protocol_noclip,T2W,7T,0006,0.0,1.0,99.0,0.0,0.1723353068033854,0.27132323384284973,0.043995118227952726,0.9891622782603039,0.051261764927646745,0.9935710556512231,4.293011903762817
protocol_noclip,T2FLAIR,0.1T,0006,0.0,1.0,99.0,0.0,0.17935568188864087,0.20537567138671875,0.013481928256284923,0.9967194105544769,0.025380344934238602,0.9972155161828704,4.2937939167022705
protocol_noclip,T2FLAIR,1.5T,0006,0.0,1.0,99.0,0.0,0.17815265958271329,0.275606632232666,0.019936312012743457,0.9925435768656251,0.02273625826485812,0.9945109126470872,4.330749750137329
protocol_noclip,T2FLAIR,3T,0006,0.0,1.0,99.0,0.0,0.17663162473648314,0.2576248347759247,0.026453045276327736,0.9904158605817026,0.028883959236852223,0.9934714478782596,4.319729328155518
protocol_noclip,T2FLAIR,5T,0006,0.0,1.0,99.0,0.0,0.17766171409970238,0.21117116510868073,0.02795118492034808,0.9887662888667127,0.0307590289059064,0.9925085396885251,4.323034763336182
protocol_noclip,T2FLAIR,7T,0006,0.0,1.0,99.0,0.0,0.17493547712053573,0.13781821727752686,0.030795976218711142,0.99454700889081,0.032081349167525926,0.9960024602977591,4.33731484413147
protocol_nocrop,T1W,0.1T,0006,0.0,1.0,99.0,0.0,0.2032224579705924,0.4781823456287384,0.03640543889426854,0.9831762950140526,0.0401203230268823,0.9895180904193712,4.249506950378418
protocol_nocrop,T1W,1.5T,0006,0.0,1.0,99.0,0.0,0.20176419954429253,0.4709251821041107,0.06518247962758647,0.9569210133321447,0.0718141058360852,0.9780047712815968,4.254742383956909
protocol_nocrop,T1W,3T,0006,0.0,1.0,99.0,0.0,0.20158530893603582,0.4584045708179474,0.11212454411896992,0.9149657753685327,0.11137380147914934,0.9554018369102806,4.21336817741394
protocol_nocrop,T1W,5T,0006,0.0,1.0,99.0,0.0,0.19949997893399468,0.33000269532203674,0.04529159521737095,0.9859523422141341,0.057804871713009125,0.9913723154882668,4.236559867858887
protocol_nocrop,T1W,7T,0006,0.0,1.0,99.0,0.0,0.19991570870882294,0.6194809675216675,0.09806854684063647,0.9692686983539393,0.10937466169651955,0.9846197047880324,4.247126817703247
protocol_nocrop,T2W,0.1T,0006,0.0,1.0,99.0,0.0,0.2111798176488402,0.37664446234703064,0.03050356090507106,0.986669952437624,0.024961038264681976,0.9948575187023451,4.306306838989258
protocol_nocrop,T2W,1.5T,0006,0.0,1.0,99.0,0.0,0.20167284534647853,0.34290263056755066,0.06425610014134311,0.9885634496548364,0.06582908295748527,0.9925432170593196,4.264596700668335
protocol_nocrop,T2W,3T,0006,0.0,1.0,99.0,0.0,0.19999574589407196,0.36619532108306885,0.08855672399690331,0.9819588405655783,0.08134009110654228,0.9885109628140388,4.215271711349487
protocol_nocrop,T2W,5T,0006,0.0,1.0,99.0,0.0,0.20123748123659768,0.3823048770427704,0.12093102599840574,0.9807815739849067,0.1153146952651253,0.9877318076135227,4.220808267593384
protocol_nocrop,T2W,7T,0006,0.0,1.0,99.0,0.0,0.19943848528740643,0.4491824507713318,0.11804273688089294,0.9775170898246397,0.12849449221796047,0.9868533675017697,4.22446346282959
protocol_nocrop,T2FLAIR,0.1T,0006,0.0,1.0,99.0,0.0,0.20225219458007815,0.28248804807662964,0.013493025778131228,0.996717248942106,0.02638029069503426,0.9971504694614469,4.229734659194946
protocol_nocrop,T2FLAIR,1.5T,0006,0.0,1.0,99.0,0.0,0.20154713106232253,0.41166436672210693,0.03151603050173938,0.984730589642358,0.030610179171898115,0.9909943269151734,4.217672109603882
protocol_nocrop,T2FLAIR,3T,0006,0.0,1.0,99.0,0.0,0.20030907715761911,0.40442827343940735,0.1246539180276907,0.8876126168707568,0.11669997111266538,0.9411999073196535,4.28171181678772
protocol_nocrop,T2FLAIR,5T,0006,0.0,1.0,99.0,0.0,0.2012081660835678,0.3661245107650757,0.03143153542163564,0.9874827332901239,0.0336972351486572,0.9917306192673793,4.224874258041382
protocol_nocrop,T2FLAIR,7T,0006,0.0,1.0,99.0,0.0,0.1996895048070715,0.3460041880607605,0.04713205291264074,0.9931257495590358,0.04439642013710749,0.9950578599518598,4.217494964599609
prod,T1W,0.1T,0006,0.028826440513650055,0.9801331097113621,37.272993122810334,0.09250876361710775,0.1804959736173115,0.4781823456287384,0.05172342894244701,0.9578248692015466,0.05584433525201268,0.9728709637593833,35.62953472137451
prod,T1W,1.5T,0006,0.0580920712695754,0.9578607856297614,31.002638579158706,0.1598256375109483,0.17920079306950645,0.4709251821041107,0.09461900437980847,0.9001967083797306,0.10009826495804414,0.947237576065976,17.535192489624023
prod,T1W,3T,0006,0.0676712113273728,0.9425442877365833,29.730765281570342,0.19591468802276282,0.17904190790085567,0.4584045708179474,0.13514800402474295,0.8415611719383803,0.13744769020853845,0.9057377302654865,17.495720863342285
prod,T1W,5T,0006,0.07332777522121356,0.9150278492699685,29.45763680233499,0.4696144291203488,0.17718978155226933,0.33000269532203674,0.12019502365140984,0.9073396822003098,0.13621775944709777,0.9480995208670371,17.543474912643433
prod,T1W,7T,0006,0.07950317260856676,0.9426930153212477,28.445652004588638,0.26118869582362897,0.17755902002728174,0.6194809675216675,0.14752509193046992,0.8969113375106816,0.1568802112151288,0.9481221947351747,17.536189317703247
prod,T2W,0.1T,0006,0.03460645855974661,0.9655209709487738,35.74782724535603,0.11615165960839306,0.1875634571862599,0.37664446234703064,0.05324236865280517,0.9287252347185242,0.05180334883980485,0.9658184853398273,17.57244348526001
prod,T2W,1.5T,0006,0.055144013646636486,0.9614009726245424,31.9333479220412,0.3333032823254816,0.1791196550641741,0.34290263056755066,0.12376862086939668,0.9234768499926765,0.12848993861256489,0.9538882219676669,17.624844074249268
prod,T2W,3T,0006,0.08746811805901314,0.9034166827634965,27.89245423688409,0.48491005646533486,0.1776301066080729,0.36619532108306885,0.20027947760179723,0.8650361084498562,0.19676427336360716,0.9159503310843015,17.490323543548584
prod,T2W,5T,0006,0.08124464512957459,0.9103769352296252,28.5452779022361,0.46097661769240966,0.1787329779730903,0.3823048770427704,0.18804992371992132,0.8821079608311198,0.185387038607874,0.9287148143658385,17.46627688407898
prod,T2W,7T,0006,0.06384366030363184,0.9354757230830246,30.577016001591396,0.30662184462020986,0.17713516477554564,0.4491824507713318,0.15635707147899422,0.8933203481334797,0.16802475414621196,0.9438586177458183,17.49326252937317
prod,T2FLAIR,0.1T,0006,0.03672574360892561,0.9589081728094555,35.47866569220049,0.22311327377906587,0.17963421533978174,0.28248804807662964,0.046402861247792096,0.9374562517805927,0.05946738097710987,0.9639875526081516,17.49852967262268
prod,T2FLAIR,1.5T,0006,0.05390884637613686,0.9383793274943184,31.770975700305716,0.16661581244817905,0.17900799948071677,0.41166436672210693,0.07096598023286853,0.8898054244288152,0.07513397825563282,0.9323570115059772,17.553075790405273
prod,T2FLAIR,3T,0006,0.058741476817228015,0.9424233465197351,30.821808486631706,0.15139973912631338,0.1779083978562128,0.40442827343940735,0.1396838736443794,0.833725876769701,0.13500339975963063,0.9048587513638661,17.595760583877563
prod,T2FLAIR,5T,0006,0.060960447424157974,0.9305565109446916,30.83636627296621,0.22153607638457304,0.17870694115048363,0.3661245107650757,0.08138016167286231,0.8846972150292767,0.08700491754398518,0.9337101039010907,17.537179946899414
prod,T2FLAIR,7T,0006,0.05592101586653051,0.93334294284109,31.783994446232757,0.3191144548357729,0.17735811263795884,0.3460041880607605,0.10020345514967116,0.9333700079193233,0.10231963617304314,0.9567682906591998,17.550550937652588
prod_mode,T1W,0.1T,0006,0.028883044458249584,0.9803756128313578,37.255954129180736,0.09249992166728632,0.1804959736173115,0.4781823456287384,0.051679825903463976,0.9578859677739074,0.05578698969140432,0.9729021925952784,17.49609899520874
prod_mode,T1W,1.5T,0006,0.05812846926808664,0.9581018146494285,30.997198077730275,0.1598165577007336,0.17920079306950645,0.4709251821041107,0.09458148681157903,0.9002373569332858,0.10004554009058292,0.9472565158200711,17.515769243240356
prod_mode,T1W,3T,0006,0.06770039692668582,0.9428880492375656,29.727019992556993,0.19591582800283916,0.17904190790085567,0.4584045708179474,0.13509257385564943,0.84158908463324,0.13738889812041982,0.9057542125540483,17.54688334465027
prod_mode,T1W,5T,0006,0.0733272173079357,0.9150653971199673,29.45770288904665,0.469619799318713,0.17718978155226933,0.33000269532203674,0.12019522071898502,0.9073443929067164,0.1362195561894673,0.9480982264068404,17.508344173431396
prod_mode,T1W,7T,0006,0.07951324848243756,0.9427842133253935,28.444551263823016,0.26119516646889357,0.17755902002728174,0.6194809675216675,0.1474784815921608,0.8969334883306302,0.15684307943404643,0.9481274214406262,17.5543475151062
prod_mode,T2W,0.1T,0006,0.03461891051791996,0.9656914839648499,35.74470248525786,0.11613949596033879,0.1875634571862599,0.37664446234703064,0.05321537293705118,0.9287695156362687,0.05178991239980026,0.9658321638135813,17.650516986846924
