method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.23421184377813478,0.8879310814810427,0.11829824147079537,0.06926733249205452,0.018251069007259108,0.015010408919804244
mmfm_v2,task3,0.1T_to_3T,3,0.44171055299656237,0.8470682809769037,0.14416338609397233,0.09404686472187153,0.03529147551280245,0.024090062729735507
mmfm_v2,task3,0.1T_to_5T,3,0.3369718191281382,0.8711580295752994,0.13554274544478132,0.09922986358600686,0.028879941495918864,0.021175375231237446
mmfm_v2,task3,0.1T_to_7T,3,0.396142001528823,0.9150981507838597,0.11429911698994738,0.041762375429552676,0.012760745415667324,0.01639352038330796
mmfm_v2,task3,1.5T_to_0.1T,3,0.2601244649692052,0.8973704327090318,0.1059003150693497,0.11551325182587312,0.026554382989107558,0.01671407854658766
mmfm_v2,task3,1.5T_to_3T,3,0.3131616474299545,0.8970822308076961,0.09461829507339732,0.12003893241691443,0.029026473896066832,0.018301873644170085
mmfm_v2,task3,1.5T_to_5T,3,0.20954285309084333,0.9159494285623323,0.09192021630319987,0.12898539205901133,0.0197350305395466,0.01476500983805925
mmfm_v2,task3,1.5T_to_7T,3,0.4240984254093106,0.9368282364460078,0.07124374180776137,0.1360221024741516,0.007556742799333776,0.006526144858430634
mmfm_v2,task3,3T_to_0.1T,3,0.42375560246120064,0.891433619820225,0.11497613566046183,0.17441549268733228,0.032465705386352774,0.028312974676560906
mmfm_v2,task3,3T_to_1.5T,3,0.24239188540486414,0.9158164855340778,0.08964035791713403,0.15779644732536663,0.00790430105233656,0.011134149448961184
mmfm_v2,task3,3T_to_5T,3,0.15306814253419557,0.9099226136591057,0.09905416469829272,0.054274035533604596,0.007381944732258121,0.011920046804778657
mmfm_v2,task3,3T_to_7T,3,0.7905217861176843,0.910849146063244,0.08312997273507743,0.25988076135873084,0.01750112357350177,0.01393459086174759
mmfm_v2,task3,5T_to_0.1T,3,0.32895272465269837,0.8901269902151648,0.10570241773640059,0.13887975123831234,0.034412078274101636,0.021264405815323253
mmfm_v2,task3,5T_to_1.5T,3,0.19023141160007948,0.9306732921778421,0.07084409260796837,0.12516278522135085,0.005593799983171824,0.0038711003264961714
mmfm_v2,task3,5T_to_3T,3,0.24103197821189448,0.9111304343160515,0.0824259503779307,0.046634582940140945,0.012063958506685223,0.008106983288463708
mmfm_v2,task3,5T_to_7T,3,0.5783588795656213,0.9241392679504115,0.06854687660802052,0.2718630764769219,0.01679667897684964,0.0074323864351321526
mmfm_v2,task3,7T_to_0.1T,3,0.306693136137736,0.8841794361037753,0.0991713767400089,0.009659739869497933,0.024581418236602343,0.018948711611752614
mmfm_v2,task3,7T_to_1.5T,3,0.2773275572299018,0.90925848184905,0.09010918970353564,0.056906727228726375,0.00699949230974926,0.00553747183743465
mmfm_v2,task3,7T_to_3T,3,0.4839007573048801,0.8670469710103338,0.10659305384886471,0.08301954984258846,0.026652736468306047,0.018805731285160422
mmfm_v2,task3,7T_to_5T,3,0.39972469312590436,0.8861591559413063,0.10394095743986566,0.1350724156232005,0.02528998216120318,0.015287910419346563
