method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.22496155067041448,0.8899127157244777,0.11435664233731206,0.06741965641207823,0.018996971050994172,0.013891058906718426
mmfm_v2,task3,0.1T_to_3T,3,0.38608896316541336,0.8576001811570421,0.13276213712312515,0.095209695575237,0.03449018529672626,0.021856628107848688
mmfm_v2,task3,0.1T_to_5T,3,0.26882433799591926,0.8804237584409244,0.12508969935975833,0.0817012031703792,0.027429617704901335,0.01752811656298871
mmfm_v2,task3,0.1T_to_7T,3,0.45883033779834353,0.9121900077086296,0.10590710765547297,0.12261868938997574,0.011894855749848238,0.013199761338067838
mmfm_v2,task3,1.5T_to_0.1T,3,0.2605199935201919,0.8958635231278023,0.1083018201621827,0.11305097029923623,0.026531475510736906,0.016524957529759972
mmfm_v2,task3,1.5T_to_3T,3,0.27854005660120146,0.909976227951273,0.07875971879858995,0.10838650608828898,0.023341486491344203,0.01541247012064241
mmfm_v2,task3,1.5T_to_5T,3,0.1801998975228972,0.9278727769349747,0.07540454787723615,0.09195237262959026,0.011743725697381099,0.011126617114789817
mmfm_v2,task3,1.5T_to_7T,3,0.4961377836031744,0.9339727535059225,0.06223561095554699,0.1333830333839106,0.005305336177693685,0.006067089325239619
mmfm_v2,task3,3T_to_0.1T,3,0.43347066509246446,0.8902990571799965,0.11996927322693392,0.1772443303154409,0.032293129643060796,0.027228829329865954
mmfm_v2,task3,3T_to_1.5T,3,0.25052557963369204,0.9166078529672338,0.08665528710434563,0.16335793211822647,0.007846084550727285,0.012093275924605502
mmfm_v2,task3,3T_to_5T,3,0.15287844116287871,0.9140785373057905,0.08990703256021254,0.05661349068311,0.007827447671104926,0.01257762402530126
mmfm_v2,task3,3T_to_7T,3,0.8502972946088176,0.9074456595451563,0.07930673820987504,0.2745610690210424,0.019132312436319084,0.015316847504291095
mmfm_v2,task3,5T_to_0.1T,3,0.3292345142203537,0.8893001632713512,0.11006888568398787,0.14262058521527776,0.03446239425418311,0.020968808249980576
mmfm_v2,task3,5T_to_1.5T,3,0.20021061875951185,0.9367030477646342,0.061861798318343326,0.141092331087288,0.004726001134843461,0.0035401617240884975
mmfm_v2,task3,5T_to_3T,3,0.2085018776490383,0.9201801504495543,0.06941155862838232,0.04309094180098538,0.0097970346653089,0.007323455479822239
mmfm_v2,task3,5T_to_7T,3,0.6642072202105448,0.9206094142058658,0.061955568608154925,0.3020006991931888,0.019948543108983776,0.008677008157373906
mmfm_v2,task3,7T_to_0.1T,3,0.3125459359591191,0.8862228972733734,0.10374731173706696,0.03908414059155443,0.025285454910396445,0.01647255315373204
mmfm_v2,task3,7T_to_1.5T,3,0.3091796671429008,0.9159193016067487,0.07750342597350574,0.05129498591347612,0.005552806294888451,0.003790596655367831
mmfm_v2,task3,7T_to_3T,3,0.483947052504662,0.8731008515272131,0.0935169663414107,0.08383332397224771,0.028280355666498936,0.017525886226386445
mmfm_v2,task3,7T_to_5T,3,0.3699254924182309,0.8985170480322452,0.08904559623264413,0.11490752226683305,0.022489397870416872,0.014050504886216487
