method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.2495344787692201,0.885902736398461,0.11985500270077787,0.07011594313384657,0.01867312211347092,0.01487033737226463
mmfm_v2,task3,0.1T_to_3T,3,0.39957526373660973,0.8536381996405397,0.1407772954772623,0.09343666536971473,0.03425572040795869,0.023429948937696416
mmfm_v2,task3,0.1T_to_5T,3,0.3195757180995496,0.8730381574334937,0.13544097988120965,0.08006088525381601,0.027659007496699098,0.019586906720621244
mmfm_v2,task3,0.1T_to_7T,3,0.44548210776253655,0.9130327507618582,0.11263326879188847,0.11168746406375446,0.01099125620542773,0.01470230349959724
mmfm_v2,task3,1.5T_to_0.1T,3,0.2690023394165566,0.8961619348772057,0.10524033354621613,0.11538942160295543,0.02671052135722397,0.016858630988720313
mmfm_v2,task3,1.5T_to_3T,3,0.273137929212293,0.9040198400144707,0.09024679783776601,0.1089230262294658,0.022728588987371054,0.01564573204121056
mmfm_v2,task3,1.5T_to_5T,3,0.20029728409712874,0.9191427295858315,0.09038104219859229,0.1042790890194792,0.01485260148536024,0.012782209116602111
mmfm_v2,task3,1.5T_to_7T,3,0.48513753447336355,0.93318998306357,0.07103178848237772,0.13053516437754484,0.005753810164397145,0.006080562755422885
mmfm_v2,task3,3T_to_0.1T,3,0.42541600969421417,0.8896737885849694,0.11723102866006481,0.1741360968149591,0.032206000389016824,0.026629981898870697
mmfm_v2,task3,3T_to_1.5T,3,0.23926189478547213,0.91800930972389,0.08662955706747234,0.16118046156840005,0.007945871709944615,0.011220088921242384
mmfm_v2,task3,3T_to_5T,3,0.13764955494271497,0.9168470646303436,0.09180104013217698,0.04664423111973736,0.007585361446863715,0.011637318750252371
mmfm_v2,task3,3T_to_7T,3,0.8127619488530228,0.9097500323614826,0.0820852054248321,0.2599496099619396,0.017585926499394593,0.01376023612662275
mmfm_v2,task3,5T_to_0.1T,3,0.34037340743595274,0.8892939919760727,0.10374265998860834,0.14135920056937779,0.034466206314824735,0.02273471367475986
mmfm_v2,task3,5T_to_1.5T,3,0.20371772519085118,0.9277364837959444,0.07257556480989819,0.1405994020086647,0.005270741479018856,0.004385114813101987
mmfm_v2,task3,5T_to_3T,3,0.19266819758265874,0.9114991701649325,0.0825892856630119,0.03565168357289304,0.01025636633522463,0.008709481254329602
mmfm_v2,task3,5T_to_7T,3,0.7142818119933597,0.9153199134434612,0.06974253993522436,0.3081449682057801,0.019872111127988635,0.008160528425388147
mmfm_v2,task3,7T_to_0.1T,3,0.3305451303562286,0.8824064882316528,0.10523823641282293,0.052984196038988705,0.024925851693879116,0.017154844373427493
mmfm_v2,task3,7T_to_1.5T,3,0.3415668773126479,0.9044460125053035,0.08968016809819497,0.05924227412986071,0.006382492804898731,0.005348054424515864
mmfm_v2,task3,7T_to_3T,3,0.49261030547130263,0.8655024689938736,0.10531530070952388,0.0817139869945884,0.026441142707812303,0.01761478049222208
mmfm_v2,task3,7T_to_5T,3,0.41831458331744553,0.8845506933417822,0.10219527149582575,0.1169837720307917,0.025036151376515974,0.014344502666500229
