method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.5059384095897198,0.8904639254279855,0.13499397491923373,0.15870357592805412,0.017133789518100063,0.012091112707645991
mmfm_v2,task3,0.1T_to_3T,3,0.5183380858313239,0.8625903704449848,0.14865264120715757,0.16487217209770683,0.015226661232655222,0.011793772304860856
mmfm_v2,task3,0.1T_to_5T,3,0.44280589823525807,0.8804936388576845,0.1482339144638075,0.06323472111269128,0.008578172129277436,0.010619795882206398
mmfm_v2,task3,0.1T_to_7T,3,0.4029195535024239,0.895898395027742,0.13359153268336968,0.0677908638413675,0.01434310329781924,0.01431781125584466
mmfm_v2,task3,1.5T_to_0.1T,3,0.35149791126317,0.8991689946792979,0.08597503384583977,0.06643203911587525,0.01629336029545916,0.013932592936596834
mmfm_v2,task3,1.5T_to_3T,3,0.2534315142404187,0.901116764460072,0.0939252635660693,0.019199793192934515,0.007473776067397705,0.008519601962887627
mmfm_v2,task3,1.5T_to_5T,3,0.27797670398800645,0.9112180471771829,0.09776464858574674,0.027362487526982688,0.009520211592900325,0.01101520234689877
mmfm_v2,task3,1.5T_to_7T,3,0.36433809475657114,0.9036167875060875,0.09503389713179945,0.04861583920632601,0.022994864543117395,0.011578471152160014
mmfm_v2,task3,3T_to_0.1T,3,0.34293543842913005,0.8960130352853631,0.08870176201473323,0.07460885561745925,0.014660960494809827,0.00993465505633192
mmfm_v2,task3,3T_to_1.5T,3,0.21994781522411108,0.9246413719267316,0.07156940065915694,0.017033175794141663,0.006790199534802414,0.008535299668956496
mmfm_v2,task3,3T_to_5T,3,0.24024930527348554,0.9306268576879401,0.07506291952559488,0.042181120662737645,0.008957099073596434,0.009912229744991653
mmfm_v2,task3,3T_to_7T,3,0.33358659333219975,0.9232585465810681,0.08059604076246964,0.06075057760324522,0.014138564743944537,0.010767166281615009
mmfm_v2,task3,5T_to_0.1T,3,0.31262051548890885,0.9009518543968879,0.08829321349365528,0.0436090523537908,0.005747849052704243,0.008660681859385868
mmfm_v2,task3,5T_to_1.5T,3,0.2372619632281154,0.9260959754735091,0.06995568040873305,0.03388298586422269,0.00650255069058937,0.0064848997737955
mmfm_v2,task3,5T_to_3T,3,0.2338845604383271,0.9156378902644294,0.07217420607600618,0.047827968728418026,0.008556516104765573,0.007935156378570035
mmfm_v2,task3,5T_to_7T,3,0.2910537678793125,0.9318069838331738,0.07082813830569022,0.013590836460070595,0.008159059655597217,0.009741577596662884
mmfm_v2,task3,7T_to_0.1T,3,0.3097392955450462,0.9086205773987174,0.08567928954166032,0.041810524450935374,0.016609378762132625,0.016414721079864934
mmfm_v2,task3,7T_to_1.5T,3,0.3692953499325271,0.915090609591485,0.08834728877796129,0.06827293293823969,0.010436375442536035,0.011973527892018752
mmfm_v2,task3,7T_to_3T,3,0.3689817544974059,0.8964909426964267,0.09890249610791113,0.08365307228500583,0.012640386741429853,0.012000318921386975
mmfm_v2,task3,7T_to_5T,3,0.31789817023904693,0.9148558174941338,0.09751627107822593,0.009962579345341276,0.011034747354814451,0.014571596765435792
