method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_v2,task3,0.1T_to_1.5T,3,0.45462523312196496,0.8950642212941647,0.13443133427924994,0.14484986400938174,0.015718445529221962,0.012259814518325814
mmfm_v2,task3,0.1T_to_3T,3,0.4899448644217545,0.8658963272175209,0.14697280541640853,0.1614352116159044,0.014536902190500713,0.011665438348212787
mmfm_v2,task3,0.1T_to_5T,3,0.4257872130258693,0.8831084312462192,0.14718467903575205,0.06111592791811437,0.008628351806146827,0.010590980585330851
mmfm_v2,task3,0.1T_to_7T,3,0.37462793258059746,0.8993231504537781,0.13439445467301095,0.06924293966522134,0.013944555161953157,0.014716682637222988
mmfm_v2,task3,1.5T_to_0.1T,3,0.31268203400447736,0.901818510800341,0.0851342942109844,0.06385121685925445,0.013585751544571518,0.014750615918629178
mmfm_v2,task3,1.5T_to_3T,3,0.25899321727814223,0.9012975304376113,0.09317688114694293,0.020093624558148115,0.007816401949995768,0.008561009954236028
mmfm_v2,task3,1.5T_to_5T,3,0.2683721264491483,0.9152052694865614,0.09500144721804953,0.019791153768020018,0.007229649885180449,0.010188279912422297
mmfm_v2,task3,1.5T_to_7T,3,0.36555830056400324,0.9062830680061588,0.09509687255170758,0.04466738826259277,0.01489595113379658,0.011198809913421842
mmfm_v2,task3,3T_to_0.1T,3,0.3060380242731782,0.9028809542897406,0.08618142520640688,0.07332678825462702,0.014486179740727353,0.01084664593624576
mmfm_v2,task3,3T_to_1.5T,3,0.2228218432539908,0.9256048633411839,0.07270903137688178,0.02015016901024065,0.007477491211301266,0.009233020640459071
mmfm_v2,task3,3T_to_5T,3,0.23118280887982312,0.9319364835106582,0.07459673969349424,0.03580482891451378,0.007901196156274647,0.00945623748227655
mmfm_v2,task3,3T_to_7T,3,0.31660861350053476,0.9279189593252881,0.07984149811669851,0.0606048938510721,0.013265155896559229,0.010175954591032097
mmfm_v2,task3,5T_to_0.1T,3,0.2923215317962385,0.9031110295139605,0.08756189039603514,0.04121993797395124,0.008353414664721696,0.009308254287755583
mmfm_v2,task3,5T_to_1.5T,3,0.22894120320866498,0.927398671755931,0.06970047682496038,0.021811822043843288,0.006163663876742663,0.006454055768758862
mmfm_v2,task3,5T_to_3T,3,0.22587488062932692,0.9181847760362812,0.07095604067971248,0.03954566295860536,0.00699853215317767,0.006966856508230188
mmfm_v2,task3,5T_to_7T,3,0.2893751954909965,0.933114252715928,0.07180694594286925,0.013446722355301578,0.007325920464568932,0.00934478791118577
mmfm_v2,task3,7T_to_0.1T,3,0.26494924787337243,0.9129554964334252,0.08732088497184294,0.04337777947852227,0.015933833784395748,0.01625119562542927
mmfm_v2,task3,7T_to_1.5T,3,0.36282387857839854,0.9161192598087857,0.08624671145301882,0.07230344486279432,0.009820454256867873,0.011307045930137495
mmfm_v2,task3,7T_to_3T,3,0.358692769826552,0.89854394388301,0.09602982632654007,0.09050877193922825,0.01193038837710416,0.011167749654708433
mmfm_v2,task3,7T_to_5T,3,0.3121885141420674,0.9166051412619683,0.09474837110871953,0.015139772862471649,0.009571622288591063,0.013417376089420856
