modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,R-best,1770523.9244244024,1988619.748166635,2278349.510741159,0.17732,0.14069,0.14018,0.14014,1.1232,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,R-best,1897725.440971547,2154955.3430740093,2481928.582217498,0.16763,0.14267,0.11854,0.11853,1.1355,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,R-best,1378924.8817377093,1776544.8381219015,2347655.3011132665,0.27184,0.24528,0.15831,0.15811,1.2884,1.0439
T1W,0.1T_to_3T,3T,0006,R-best,2696668.5886795428,3169699.9607940796,3803023.1198128695,0.2053,0.15298,0.14258,0.14249,1.1754,1.1096
T1W,0.1T_to_3T,3T,0007,R-best,2847085.958656706,2452213.4761074665,2147316.1520779505,0.2047,0.24703,0.12805,0.12803,0.8613,1.0448
T1W,0.1T_to_3T,3T,0009,R-best,2055357.7334377866,2705461.5560359894,3624040.6030706316,0.27218,0.24378,0.13169,0.13148,1.3163,1.0439
T1W,0.1T_to_5T,5T,0006,R-best,946044.2894050478,658830.646400409,482299.0247689652,0.47905,0.61931,0.22067,0.22045,0.6964,1.1096
T1W,0.1T_to_5T,5T,0007,R-best,1008946.9362949653,636200.3054346313,419208.730313553,0.60955,0.67526,0.20749,0.20734,0.6306,1.0448
T1W,0.1T_to_5T,5T,0009,R-best,729087.765414319,540970.5430452321,416859.8667648289,0.39185,0.44331,0.19264,0.19245,0.742,1.0439
T1W,0.1T_to_7T,7T,0006,R-best,716032.9080269306,662921.5273474985,714032.7582231096,0.38205,0.4175,0.37476,0.37475,0.9258,1.1096
T1W,0.1T_to_7T,7T,0007,R-best,753796.6711422567,574578.323864118,497434.91620167723,0.45299,0.49041,0.34575,0.34573,0.7622,1.0448
T1W,0.1T_to_7T,7T,0009,R-best,549244.8596468036,227178.88367011983,105526.6012830897,1.37811,1.4755,0.33099,0.33097,0.4136,1.0439
T1W,1.5T_to_0.1T,0.1T,0006,R-best,4464642.740741741,4215199.432743098,4064236.846109953,0.15566,0.27268,0.14423,0.14423,0.9441,1.1649
T1W,1.5T_to_0.1T,0.1T,0007,R-best,4914756.019356272,4497998.803511304,4172328.7992550493,0.14775,0.29085,0.11559,0.11559,0.9152,1.1611
T1W,1.5T_to_0.1T,0.1T,0009,R-best,4258528.0168103725,3538242.5747328824,3038726.1154443105,0.26954,0.53075,0.18044,0.18044,0.8309,1.2525
T1W,1.5T_to_3T,3T,0006,R-best,3099958.5291352826,3400542.481468452,3803023.1198128695,0.16369,0.15131,0.13831,0.1383,1.097,1.1649
T1W,1.5T_to_3T,3T,0007,R-best,3421639.3487375523,2682797.028972101,2147316.1520779505,0.30774,0.49693,0.14286,0.14285,0.7841,1.1611
T1W,1.5T_to_3T,3T,0009,R-best,2962062.33488622,3233277.7506645867,3624040.6030706316,0.18162,0.21749,0.16166,0.16166,1.0916,1.2525
T1W,1.5T_to_5T,5T,0006,R-best,1088652.2050518272,712807.0556696173,482299.0247689652,0.54895,0.78725,0.17974,0.17971,0.6548,1.1649
T1W,1.5T_to_5T,5T,0007,R-best,1202159.6217869562,695559.946452441,419208.730313553,0.74111,1.00652,0.19997,0.1999,0.5786,1.1611
T1W,1.5T_to_5T,5T,0009,R-best,1032439.51834638,643766.2713983653,416859.8667648289,0.62295,1.00836,0.1925,0.19249,0.6235,1.2525
T1W,1.5T_to_7T,7T,0006,R-best,835215.7161737579,722951.1649476733,714032.7582231096,0.38044,0.47792,0.35157,0.35152,0.8656,1.1649
T1W,1.5T_to_7T,7T,0007,R-best,918826.349391604,631806.5958826611,497434.91620167723,0.55396,0.73535,0.35585,0.35582,0.6876,1.1611
T1W,1.5T_to_7T,7T,0009,R-best,800481.4375645339,270618.83619136555,105526.6012830897,1.85921,2.54477,0.36474,0.36474,0.3381,1.2525
T1W,3T_to_0.1T,0.1T,0006,R-best,4598007.625383616,4283593.869578642,4064236.846109953,0.15293,0.34983,0.13453,0.13447,0.9316,1.2352
T1W,3T_to_0.1T,0.1T,0007,R-best,3094660.6037416104,3574816.7294371463,4172328.7992550493,0.16771,0.24899,0.10135,0.10132,1.1552,0.8911
T1W,3T_to_0.1T,0.1T,0009,R-best,4193564.1628217953,3528130.641064289,3038726.1154443105,0.24068,0.55522,0.15225,0.15216,0.8413,1.2958
T1W,3T_to_1.5T,1.5T,0006,R-best,2056591.7722811017,2150046.5515835164,2278349.510741159,0.12367,0.21434,0.11589,0.11581,1.0454,1.2352
T1W,3T_to_1.5T,1.5T,0007,R-best,1467275.467845968,1893728.278201039,2481928.582217498,0.25528,0.33108,0.12341,0.12335,1.2906,0.8911
T1W,3T_to_1.5T,1.5T,0009,R-best,1859575.1214954797,2073221.1515516932,2347655.3011132665,0.16091,0.2034,0.12425,0.1242,1.1149,1.2958
T1W,3T_to_5T,5T,0006,R-best,1113198.3759261994,720831.2854623233,482299.0247689652,0.56477,0.91071,0.17949,0.17949,0.6475,1.2352
T1W,3T_to_5T,5T,0007,R-best,755059.2685304537,551150.7523277495,419208.730313553,0.41433,0.2951,0.20078,0.2006,0.7299,0.8911
T1W,3T_to_5T,5T,0009,R-best,1011692.1646758483,639527.1295818173,416859.8667648289,0.59886,1.04845,0.1738,0.17377,0.6321,1.2958
T1W,3T_to_7T,7T,0006,R-best,856256.7603354268,731692.5503646854,714032.7582231096,0.38694,0.54602,0.35262,0.35252,0.8545,1.2352
T1W,3T_to_7T,7T,0007,R-best,561387.917237193,497142.8629659834,497434.91620167723,0.36019,0.33911,0.33906,0.33902,0.8856,0.8911
T1W,3T_to_7T,7T,0009,R-best,785971.4038227218,270003.0593296129,105526.6012830897,1.82506,2.62213,0.34791,0.34789,0.3435,1.2958
T1W,5T_to_0.1T,0.1T,0006,R-best,1894278.4062579938,2729578.3951952634,4064236.846109953,0.35052,0.48966,0.17955,0.17951,1.441,0.7737
T1W,5T_to_0.1T,0.1T,0007,R-best,1665783.2488387772,2604252.3748296723,4172328.7992550493,0.38846,0.5692,0.1555,0.15545,1.5634,0.6968
T1W,5T_to_0.1T,0.1T,0009,R-best,1645457.2295548986,2210469.944709591,3038726.1154443105,0.29433,0.46283,0.15094,0.15094,1.3434,0.7488
T1W,5T_to_1.5T,1.5T,0006,R-best,902959.0997010646,1421455.2774751133,2278349.510741159,0.38539,0.52138,0.1336,0.13359,1.5742,0.7737
T1W,5T_to_1.5T,1.5T,0007,R-best,789249.1622467133,1383174.1633434661,2481928.582217498,0.451,0.61461,0.15272,0.15269,1.7525,0.6968
T1W,5T_to_1.5T,1.5T,0009,R-best,778171.6966127348,1338010.4455497114,2347655.3011132665,0.43772,0.57647,0.14156,0.14148,1.7194,0.7488
T1W,5T_to_3T,3T,0006,R-best,1244922.0884864707,2151491.4928150848,3803023.1198128695,0.44259,0.56618,0.14931,0.14924,1.7282,0.7737
T1W,5T_to_3T,3T,0007,R-best,1078792.810267211,1499450.9515406284,2147316.1520779505,0.32528,0.52037,0.17153,0.17141,1.3899,0.6968
T1W,5T_to_3T,3T,0009,R-best,1078060.2390378509,1960577.6287660361,3624040.6030706316,0.46421,0.59717,0.12705,0.12697,1.8186,0.7488
T1W,5T_to_7T,7T,0006,R-best,347630.33174459636,472406.7386724689,714032.7582231096,0.40453,0.51738,0.31769,0.31754,1.3589,0.7737
