modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,batch8,1822155.1618841714,2017386.7049440835,2278349.510741159,0.16985,0.14026,0.14025,0.14024,1.1071,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,batch8,1973593.152615738,2198103.7109131063,2481928.582217498,0.15459,0.13188,0.11665,0.11665,1.1138,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,batch8,1384654.9084641316,1781535.2200108627,2347655.3011132665,0.26849,0.24163,0.15373,0.1536,1.2866,1.0439
T1W,0.1T_to_3T,3T,0006,batch8,2560986.137744904,3084851.8204357466,3803023.1198128695,0.22604,0.17026,0.15138,0.15116,1.2046,1.1096
T1W,0.1T_to_3T,3T,0007,batch8,2682946.4228160516,2379805.6374680987,2147316.1520779505,0.18139,0.21919,0.1302,0.13015,0.887,1.0448
T1W,0.1T_to_3T,3T,0009,batch8,1873600.0943444078,2580260.8252272797,3624040.6030706316,0.305,0.27731,0.13956,0.13922,1.3772,1.0439
T1W,0.1T_to_5T,5T,0006,batch8,954105.9754500643,661275.8923755555,482299.0247689652,0.48586,0.6268,0.22298,0.22278,0.6931,1.1096
T1W,0.1T_to_5T,5T,0007,batch8,1022844.8233111865,640444.1708944159,419208.730313553,0.62004,0.6863,0.20837,0.20825,0.6261,1.0448
T1W,0.1T_to_5T,5T,0009,batch8,712765.5522521791,535216.2113840444,416859.8667648289,0.37683,0.42741,0.18948,0.18931,0.7509,1.0439
T1W,0.1T_to_7T,7T,0006,batch8,699064.2016292176,652887.412843615,714032.7582231096,0.38769,0.4198,0.38214,0.38212,0.9339,1.1096
T1W,0.1T_to_7T,7T,0007,batch8,729559.4781910226,563948.3849531192,497434.91620167723,0.44634,0.48163,0.35163,0.35161,0.773,1.0448
T1W,0.1T_to_7T,7T,0009,batch8,540869.4516898652,225277.57114562782,105526.6012830897,1.36229,1.45885,0.33292,0.33292,0.4165,1.0439
T1W,1.5T_to_0.1T,0.1T,0006,batch8,4242929.143333181,4108593.7752716797,4064236.846109953,0.14879,0.24786,0.14523,0.14522,0.9683,1.1649
T1W,1.5T_to_0.1T,0.1T,0007,batch8,4637455.864889577,4370509.260123398,4172328.7992550493,0.12838,0.25681,0.11313,0.11311,0.9424,1.1611
T1W,1.5T_to_0.1T,0.1T,0009,batch8,4089949.1854161415,3470387.9181528226,3038726.1154443105,0.24867,0.5006,0.17592,0.17592,0.8485,1.2525
T1W,1.5T_to_3T,3T,0006,batch8,2726674.4790441445,3190262.9315848798,3803023.1198128695,0.19805,0.13608,0.13601,0.13594,1.17,1.1649
T1W,1.5T_to_3T,3T,0007,batch8,3007562.7743349336,2516840.5885916566,2147316.1520779505,0.23757,0.40797,0.1384,0.13835,0.8368,1.1611
T1W,1.5T_to_3T,3T,0009,batch8,2633198.2740330165,3049689.5260760025,3624040.6030706316,0.20871,0.17845,0.15932,0.15929,1.1582,1.2525
T1W,1.5T_to_5T,5T,0006,batch8,1060980.742234759,703749.1085752667,482299.0247689652,0.53059,0.76529,0.17928,0.17923,0.6633,1.1649
T1W,1.5T_to_5T,5T,0007,batch8,1168451.6586459149,685749.5119422772,419208.730313553,0.71808,0.9793,0.1999,0.19979,0.5869,1.1611
T1W,1.5T_to_5T,5T,0009,batch8,1013144.9428868613,637773.9742678764,416859.8667648289,0.60871,0.99005,0.19209,0.19209,0.6295,1.2525
T1W,1.5T_to_7T,7T,0006,batch8,749713.5840254334,686676.9531973029,714032.7582231096,0.3558,0.42927,0.34521,0.34518,0.9159,1.1649
T1W,1.5T_to_7T,7T,0007,batch8,822372.8842907171,599505.555060536,497434.91620167723,0.49279,0.65584,0.34845,0.34843,0.729,1.1611
T1W,1.5T_to_7T,7T,0009,batch8,724566.3651157795,258067.69435758048,105526.6012830897,1.72486,2.37598,0.35914,0.35914,0.3562,1.2525
T1W,3T_to_0.1T,0.1T,0006,batch8,4685165.094860105,4319076.013621966,4064236.846109953,0.16545,0.36542,0.1426,0.1425,0.9219,1.2352
T1W,3T_to_0.1T,0.1T,0007,batch8,3409241.68336993,3750706.800256345,4172328.7992550493,0.13861,0.21618,0.10495,0.10494,1.1002,0.8911
