modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2W,0.1T_to_1.5T,1.5T,0006,production,2675309.4173651324,1587917.4885483012,1053998.0622526873,0.72465,0.78253,0.32525,0.32523,0.5935,1.0403
T2W,0.1T_to_1.5T,1.5T,0007,production,1773476.8033522808,1431805.4957243956,1262138.848272205,0.36916,0.29384,0.29005,0.29002,0.8073,0.8471
T2W,0.1T_to_1.5T,1.5T,0009,production,1531671.06806688,1162538.3813170595,941559.8851580386,0.39667,0.26948,0.25073,0.25073,0.759,0.8364
T2W,0.1T_to_3T,3T,0006,production,2678484.1388121466,1572178.495074617,1047448.655702306,0.74514,0.80279,0.34495,0.34483,0.587,1.0403
T2W,0.1T_to_3T,3T,0007,production,1760655.0073416978,1391052.2229086724,1205000.389970746,0.39029,0.30443,0.29654,0.29649,0.7901,0.8471
T2W,0.1T_to_3T,3T,0009,production,1502095.5154929752,1194703.1847621573,1037442.3052186009,0.38041,0.29414,0.28996,0.28993,0.7954,0.8364
T2W,0.1T_to_5T,5T,0006,production,2040669.699692869,1467167.747794531,1191192.352619564,0.49977,0.53976,0.33833,0.33827,0.719,1.0403
T2W,0.1T_to_5T,5T,0007,production,1327557.5400887055,1137232.7893532445,1077761.0679211018,0.34844,0.31017,0.30999,0.30999,0.8566,0.8471
T2W,0.1T_to_5T,5T,0009,production,1127967.9583032627,875053.9392917713,752323.4874621978,0.41598,0.32121,0.31251,0.31251,0.7758,0.8364
T2W,0.1T_to_7T,7T,0006,production,1669762.1351823465,1351543.563407419,1244475.9123391546,0.41191,0.43869,0.34776,0.34758,0.8094,1.0403
T2W,0.1T_to_7T,7T,0007,production,1070026.9626055376,821215.3387639235,706741.0565468612,0.43598,0.34323,0.32896,0.32896,0.7675,0.8471
T2W,0.1T_to_7T,7T,0009,production,909643.8070575647,861880.5651441595,870119.0455511197,0.25369,0.27272,0.24795,0.24792,0.9475,0.8364
T2W,1.5T_to_0.1T,0.1T,0006,production,1202359.932863509,1843717.077803566,3046546.1901859995,0.4293,0.45109,0.26833,0.26556,1.5334,0.9562
T2W,1.5T_to_0.1T,0.1T,0007,production,1408916.660113378,1637861.6429950418,2031185.3539286666,0.28448,0.30845,0.25022,0.24874,1.1625,0.9459
T2W,1.5T_to_0.1T,0.1T,0009,production,1077463.3776150914,1353453.550401744,1781409.011151804,0.29207,0.3716,0.21359,0.21251,1.2561,0.8652
T2W,1.5T_to_3T,3T,0006,production,914564.0841776247,934990.6230418843,1047448.655702306,0.29642,0.30206,0.29568,0.29516,1.0223,0.9562
T2W,1.5T_to_3T,3T,0007,production,1133864.3131053227,1123106.8625554605,1205000.389970746,0.27729,0.28049,0.27714,0.27691,0.9905,0.9459
T2W,1.5T_to_3T,3T,0009,production,836729.118888577,904336.333200975,1037442.3052186009,0.25127,0.30882,0.24056,0.24045,1.0808,0.8652
T2W,1.5T_to_5T,5T,0006,production,642947.025851803,833470.0735413736,1191192.352619564,0.37465,0.3942,0.30491,0.30292,1.2963,0.9562
T2W,1.5T_to_5T,5T,0007,production,808964.5075873232,886701.1815382936,1077761.0679211018,0.32426,0.33932,0.31339,0.31227,1.0961,0.9459
T2W,1.5T_to_5T,5T,0009,production,588574.9996476034,639712.9013039127,752323.4874621978,0.28585,0.33803,0.27533,0.27499,1.0869,0.8652
T2W,1.5T_to_7T,7T,0006,production,493116.3329015921,719007.8561165889,1244475.9123391546,0.49064,0.50732,0.39696,0.39299,1.4581,0.9562
T2W,1.5T_to_7T,7T,0007,production,622945.1955635808,615521.8469244854,706741.0565468612,0.3736,0.37552,0.37343,0.3712,0.9881,0.9459
T2W,1.5T_to_7T,7T,0009,production,449483.95869827224,594560.8093416939,870119.0455511197,0.38724,0.45201,0.31007,0.30919,1.3228,0.8652
T2W,3T_to_0.1T,0.1T,0006,production,1273846.3396893968,1903684.9824198184,3046546.1901859995,0.41036,0.44345,0.25725,0.25407,1.4944,0.9358
T2W,3T_to_0.1T,0.1T,0007,production,1407158.7190159096,1648021.3142655138,2031185.3539286666,0.26469,0.30064,0.22307,0.22114,1.1712,0.929
T2W,3T_to_0.1T,0.1T,0009,production,1248199.1905346802,1452628.6616731763,1781409.011151804,0.26421,0.29894,0.22585,0.22421,1.1638,0.9298
T2W,3T_to_1.5T,1.5T,0006,production,1057999.4497985835,1020601.871678088,1053998.0622526873,0.25917,0.25835,0.25673,0.25641,0.9647,0.9358
T2W,3T_to_1.5T,1.5T,0007,production,1197359.211328372,1192300.9159201684,1262138.848272205,0.2436,0.2521,0.24356,0.24311,0.9958,0.929
T2W,3T_to_1.5T,1.5T,0009,production,1049244.0584156932,972001.61154766,941559.8851580386,0.22295,0.209,0.20896,0.20873,0.9264,0.9298
T2W,3T_to_5T,5T,0006,production,666148.9136020117,862737.873843534,1191192.352619564,0.33272,0.36631,0.24899,0.2481,1.2951,0.9358
T2W,3T_to_5T,5T,0007,production,784285.1027651073,897146.0285095186,1077761.0679211018,0.25073,0.28531,0.21862,0.21829,1.1439,0.929
T2W,3T_to_5T,5T,0009,production,690400.0392730222,703375.6606407895,752323.4874621978,0.21867,0.234,0.21792,0.21774,1.0188,0.9298
T2W,3T_to_7T,7T,0006,production,496175.59704394307,739564.9565192375,1244475.9123391546,0.45842,0.48671,0.33795,0.33575,1.4905,0.9358
T2W,3T_to_7T,7T,0007,production,589379.5801687061,615487.328399436,706741.0565468612,0.30361,0.31879,0.3009,0.29982,1.0443,0.929
T2W,3T_to_7T,7T,0009,production,521972.1846600903,650698.7726910161,870119.0455511197,0.32285,0.35771,0.26028,0.25907,1.2466,0.9298
T2W,5T_to_0.1T,0.1T,0006,production,1768409.2377662184,2254803.0680060973,3046546.1901859995,0.31659,0.25007,0.23731,0.23515,1.275,1.1715
T2W,5T_to_0.1T,0.1T,0007,production,1619878.2961691483,1767292.307820559,2031185.3539286666,0.23947,0.22612,0.22526,0.22354,1.091,1.0689
T2W,5T_to_0.1T,0.1T,0009,production,1233349.8063767178,1438116.874146729,1781409.011151804,0.27886,0.30194,0.24223,0.2406,1.166,0.9494
T2W,5T_to_1.5T,1.5T,0006,production,1521084.8827409444,1228165.1506220684,1053998.0622526873,0.33566,0.50046,0.24321,0.24319,0.8074,1.1715
T2W,5T_to_1.5T,1.5T,0007,production,1399339.6737103916,1287529.9404373767,1262138.848272205,0.26167,0.29315,0.24777,0.24746,0.9201,1.0689
T2W,5T_to_1.5T,1.5T,0009,production,1043190.1929171974,967447.9461901754,941559.8851580386,0.23011,0.21827,0.21704,0.21684,0.9274,0.9494
T2W,5T_to_3T,3T,0006,production,1467805.4357685563,1201053.8224233235,1047448.655702306,0.32867,0.48642,0.24847,0.24844,0.8183,1.1715
T2W,5T_to_3T,3T,0007,production,1353910.576914168,1249018.4462241034,1205000.389970746,0.22476,0.26047,0.20922,0.20921,0.9225,1.0689
T2W,5T_to_3T,3T,0009,production,987986.3847361519,990993.0217110837,1037442.3052186009,0.20463,0.2112,0.20461,0.2046,1.003,0.9494
T2W,5T_to_7T,7T,0006,production,816796.0668278156,968169.3074612331,1244475.9123391546,0.31684,0.27924,0.27901,0.27891,1.1853,1.1715
T2W,5T_to_7T,7T,0007,production,742731.3656539317,695950.1011162673,706741.0565468612,0.28541,0.30914,0.27802,0.27788,0.937,1.0689
T2W,5T_to_7T,7T,0009,production,522805.4761605741,656386.3134691142,870119.0455511197,0.30351,0.33045,0.22998,0.2292,1.2555,0.9494
T2W,7T_to_0.1T,0.1T,0006,production,2118897.0962750064,2474049.894309778,3046546.1901859995,0.2671,0.2396,0.2276,0.22585,1.1676,1.2574
