modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,lpips,1811487.363881328,2012211.1784740454,2278349.510741159,0.16944,0.13766,0.13766,0.13763,1.1108,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,lpips,1928759.4352307671,2173216.2578171478,2481928.582217498,0.1609,0.13648,0.11578,0.11578,1.1267,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,lpips,1399060.5150427506,1790714.5107484618,2347655.3011132665,0.26534,0.23856,0.15396,0.15379,1.2799,1.0439
T1W,0.1T_to_3T,3T,0006,lpips,2743860.279691168,3197611.5946732694,3803023.1198128695,0.1997,0.14965,0.14194,0.14186,1.1654,1.1096
T1W,0.1T_to_3T,3T,0007,lpips,2873524.933907742,2463998.4331243206,2147316.1520779505,0.20794,0.25099,0.12672,0.1267,0.8575,1.0448
T1W,0.1T_to_3T,3T,0009,lpips,2076032.7864012944,2720026.0231651966,3624040.6030706316,0.26786,0.23928,0.12894,0.12876,1.3102,1.0439
T1W,0.1T_to_5T,5T,0006,lpips,957580.7203559026,662720.342224355,482299.0247689652,0.48711,0.62857,0.22142,0.22119,0.6921,1.1096
T1W,0.1T_to_5T,5T,0007,lpips,1011006.3634053624,636915.809539404,419208.730313553,0.61077,0.67659,0.207,0.20686,0.63,1.0448
T1W,0.1T_to_5T,5T,0009,lpips,729249.9515214387,541124.5073990057,416859.8667648289,0.3914,0.44292,0.19177,0.19158,0.742,1.0439
T1W,0.1T_to_7T,7T,0006,lpips,729111.8415682036,664993.8011676806,714032.7582231096,0.39809,0.43637,0.38805,0.38802,0.9121,1.1096
T1W,0.1T_to_7T,7T,0007,lpips,758012.9942092287,573074.6385283839,497434.91620167723,0.46875,0.50603,0.35919,0.35918,0.756,1.0448
T1W,0.1T_to_7T,7T,0009,lpips,568175.7755268117,230609.93495819895,105526.6012830897,1.41899,1.51813,0.33619,0.33618,0.4059,1.0439
T1W,1.5T_to_0.1T,0.1T,0006,lpips,4534549.974375693,4247260.284952642,4064236.846109953,0.16017,0.28163,0.14552,0.14552,0.9366,1.1649
T1W,1.5T_to_0.1T,0.1T,0007,lpips,5027915.994001889,4548561.827964774,4172328.7992550493,0.15721,0.30499,0.11731,0.11731,0.9047,1.1611
T1W,1.5T_to_0.1T,0.1T,0009,lpips,4322393.57935999,3564327.6965423003,3038726.1154443105,0.27659,0.54144,0.18097,0.18096,0.8246,1.2525
T1W,1.5T_to_3T,3T,0006,lpips,3124304.2572344253,3417095.78974032,3803023.1198128695,0.15649,0.14642,0.13143,0.13143,1.0937,1.1649
T1W,1.5T_to_3T,3T,0007,lpips,3449912.9640934877,2695686.7131005833,2147316.1520779505,0.30962,0.50075,0.13812,0.13812,0.7814,1.1611
T1W,1.5T_to_3T,3T,0009,lpips,2992847.7785176416,3251586.17530914,3624040.6030706316,0.17714,0.21903,0.15876,0.15876,1.0865,1.2525
T1W,1.5T_to_5T,5T,0006,lpips,1106682.3098345413,719079.6601615224,482299.0247689652,0.55921,0.80012,0.17676,0.17674,0.6498,1.1649
T1W,1.5T_to_5T,5T,0007,lpips,1216856.1225302105,700098.1555313651,419208.730313553,0.7501,1.01745,0.1979,0.19784,0.5753,1.1611
T1W,1.5T_to_5T,5T,0009,lpips,1051566.5802910025,649656.806648422,416859.8667648289,0.63693,1.02634,0.19284,0.19284,0.6178,1.2525
T1W,1.5T_to_7T,7T,0006,lpips,834802.605425522,720150.2228452679,714032.7582231096,0.38988,0.48658,0.36049,0.36046,0.8627,1.1649
T1W,1.5T_to_7T,7T,0007,lpips,908114.6397017936,626108.0101507152,497434.91620167723,0.5552,0.7337,0.36359,0.36358,0.6895,1.1611
T1W,1.5T_to_7T,7T,0009,lpips,808024.0029925327,271397.8799482366,105526.6012830897,1.8744,2.5631,0.36902,0.36902,0.3359,1.2525
T1W,3T_to_0.1T,0.1T,0006,lpips,4696019.063132769,4325109.227317565,4064236.846109953,0.16454,0.36598,0.14095,0.14087,0.921,1.2352
T1W,3T_to_0.1T,0.1T,0007,lpips,3183669.9324174384,3625532.6034935247,4172328.7992550493,0.15859,0.23931,0.10223,0.1022,1.1388,0.8911
T1W,3T_to_0.1T,0.1T,0009,lpips,4271434.311598663,3558039.649250404,3038726.1154443105,0.25272,0.57078,0.15703,0.15694,0.833,1.2958
T1W,3T_to_1.5T,1.5T,0006,lpips,2107966.2089052442,2176272.8273218093,2278349.510741159,0.12175,0.22784,0.11769,0.11758,1.0324,1.2352
T1W,3T_to_1.5T,1.5T,0007,lpips,1528533.6704078037,1933878.1288645207,2481928.582217498,0.23979,0.31683,0.11912,0.11907,1.2652,0.8911
T1W,3T_to_1.5T,1.5T,0009,lpips,1903065.6029118802,2096749.87127355,2347655.3011132665,0.15612,0.21565,0.1264,0.12634,1.1018,1.2958
T1W,3T_to_5T,5T,0006,lpips,1135388.0296629618,728520.1401963898,482299.0247689652,0.57714,0.92748,0.17544,0.17544,0.6416,1.2352
T1W,3T_to_5T,5T,0007,lpips,780781.3191182647,561148.5003724162,419208.730313553,0.4305,0.30545,0.19482,0.19466,0.7187,0.8911
T1W,3T_to_5T,5T,0009,lpips,1031970.7930789398,645996.1076593498,416859.8667648289,0.61338,1.06804,0.17301,0.17298,0.626,1.2958
T1W,3T_to_7T,7T,0006,lpips,853484.3718637034,730285.0036766292,714032.7582231096,0.38701,0.54506,0.35337,0.35329,0.8557,1.2352
T1W,3T_to_7T,7T,0007,lpips,574461.815788807,502238.2968445559,497434.91620167723,0.36815,0.34294,0.34246,0.34244,0.8743,0.8911
T1W,3T_to_7T,7T,0009,lpips,790152.314271384,270596.45033690415,105526.6012830897,1.83281,2.63202,0.34906,0.34905,0.3425,1.2958
T1W,5T_to_0.1T,0.1T,0006,lpips,1970639.9480256804,2782283.09858064,4064236.846109953,0.34018,0.48057,0.18294,0.18289,1.4119,0.7737
T1W,5T_to_0.1T,0.1T,0007,lpips,1721014.053717898,2646552.8393150764,4172328.7992550493,0.37929,0.5624,0.15673,0.15666,1.5378,0.6968
T1W,5T_to_0.1T,0.1T,0009,lpips,1718671.6596031482,2258906.793063984,3038726.1154443105,0.28079,0.4515,0.15153,0.15152,1.3143,0.7488
