modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,prod_cc,1942850.7805160917,2076020.538085741,2278349.510741159,0.17423,0.16669,0.16232,0.16232,1.0685,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,prod_cc,2097154.178928517,2260626.167321299,2481928.582217498,0.15265,0.13819,0.13478,0.13478,1.0779,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,prod_cc,1570497.427315342,1893031.3013203721,2347655.3011132665,0.2372,0.21329,0.16748,0.16748,1.2054,1.0439
T1W,0.1T_to_3T,3T,0006,prod_cc,2182644.546812675,2802482.5781388916,3803023.1198128695,0.31639,0.26698,0.23199,0.23038,1.284,1.1096
T1W,0.1T_to_3T,3T,0007,prod_cc,2280022.53400626,2166387.299901984,2147316.1520779505,0.20985,0.22562,0.20347,0.20241,0.9502,1.0448
T1W,0.1T_to_3T,3T,0009,prod_cc,1696020.8167328625,2410482.551980872,3624040.6030706316,0.3711,0.3483,0.23381,0.232,1.4213,1.0439
T1W,0.1T_to_5T,5T,0006,prod_cc,930503.1466551538,650428.3610452816,482299.0247689652,0.48178,0.6185,0.23941,0.23921,0.699,1.1096
T1W,0.1T_to_5T,5T,0007,prod_cc,1016547.6054040202,635989.348196991,419208.730313553,0.62505,0.69052,0.22547,0.22528,0.6256,1.0448
T1W,0.1T_to_5T,5T,0009,prod_cc,721735.4555398019,535555.3619964112,416859.8667648289,0.40235,0.45214,0.21605,0.21588,0.742,1.0439
T1W,0.1T_to_7T,7T,0006,prod_cc,679071.1156841242,649978.0831295205,714032.7582231096,0.36118,0.38833,0.35876,0.35875,0.9572,1.1096
T1W,0.1T_to_7T,7T,0007,prod_cc,757974.8681306329,577684.6646514025,497434.91620167723,0.44846,0.48643,0.33897,0.33892,0.7621,1.0448
T1W,0.1T_to_7T,7T,0009,prod_cc,526316.3918852416,221742.7829861162,105526.6012830897,1.33601,1.43104,0.33867,0.33864,0.4213,1.0439
T1W,1.5T_to_0.1T,0.1T,0006,prod_cc,3921457.9706154605,3923967.6688387753,4064236.846109953,0.18411,0.24481,0.18411,0.18388,1.0006,1.1649
