modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_1.5T,1.5T,0006,srclevel,1937174.4274393634,2072271.82790618,2278349.510741159,0.17651,0.16843,0.16437,0.16437,1.0697,1.1096
T1W,0.1T_to_1.5T,1.5T,0007,srclevel,2051643.885549382,2235570.1003950513,2481928.582217498,0.1586,0.14204,0.13606,0.13606,1.0896,1.0448
T1W,0.1T_to_1.5T,1.5T,0009,srclevel,1586018.4510976535,1900622.4156345138,2347655.3011132665,0.23751,0.21435,0.17271,0.1727,1.1984,1.0439
T1W,0.1T_to_3T,3T,0006,srclevel,2172740.2182169543,2792346.217895173,3803023.1198128695,0.32067,0.272,0.23742,0.23568,1.2852,1.1096
T1W,0.1T_to_3T,3T,0007,srclevel,2203906.5147814914,2125975.15535942,2147316.1520779505,0.21501,0.22702,0.21201,0.21072,0.9646,1.0448
T1W,0.1T_to_3T,3T,0009,srclevel,1715418.4892100343,2420775.706153838,3624040.6030706316,0.37066,0.34816,0.2395,0.23767,1.4112,1.0439
T1W,0.1T_to_5T,5T,0006,srclevel,936542.9521449688,652161.2905201071,482299.0247689652,0.48728,0.62449,0.24166,0.24143,0.6963,1.1096
T1W,0.1T_to_5T,5T,0007,srclevel,990873.6879638202,627196.1160154148,419208.730313553,0.60942,0.67365,0.23018,0.22993,0.633,1.0448
T1W,0.1T_to_5T,5T,0009,srclevel,737255.1708895991,540733.1489722901,416859.8667648289,0.41746,0.46804,0.22048,0.22033,0.7334,1.0439
T1W,0.1T_to_7T,7T,0006,srclevel,668664.1966386685,645372.4526239466,714032.7582231096,0.35886,0.38363,0.35727,0.35727,0.9652,1.1096
T1W,0.1T_to_7T,7T,0007,srclevel,717377.084608593,561467.0702366877,497434.91620167723,0.42977,0.46439,0.34145,0.34143,0.7827,1.0448
T1W,0.1T_to_7T,7T,0009,srclevel,527693.1973965722,221693.07560972532,105526.6012830897,1.34124,1.43635,0.34265,0.34261,0.4201,1.0439
T1W,1.5T_to_0.1T,0.1T,0006,srclevel,3913910.4418578236,3917907.48144323,4064236.846109953,0.18714,0.24675,0.18714,0.18689,1.001,1.1649
T1W,1.5T_to_0.1T,0.1T,0007,srclevel,4555859.954508309,4312416.754090041,4172328.7992550493,0.15739,0.26817,0.14715,0.14702,0.9466,1.1611
T1W,1.5T_to_0.1T,0.1T,0009,srclevel,3681409.109200347,3279881.9932992007,3038726.1154443105,0.22973,0.44355,0.19587,0.19576,0.8909,1.2525
T1W,1.5T_to_3T,3T,0006,srclevel,1921424.321093624,2649922.3220432126,3803023.1198128695,0.33414,0.24941,0.19754,0.19584,1.3791,1.1649
T1W,1.5T_to_3T,3T,0007,srclevel,2218192.9375098683,2144735.787677073,2147316.1520779505,0.18818,0.27064,0.18514,0.18399,0.9669,1.1611
